Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
China,CHN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1616385775698.94,1766108132395.14,2017328706335.29,2297409163056.5,2596917953189.27,2881383160103.41,3167290039416.23,3459845648886.52,3731303470424.21,4017182938755.54,4358245522535.81,4721537253617.51,5152785033972.09,5670023166308.18,6243467841396.09,6954885516694.85,7839613419837.17,8955257903305.3,9819501089971.55,10742409055886.5,11884957832311.2,13020070209403.8,14043934216102.1,15134607226924.2,16258467389928.8,17403279549482.5,18595188781703.6,19887033884256.7,21229363693432.1,22492617140030.3,22996384703769.5,24861343804323.3
China,CHN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1423.89634790711,1534.70527155072,1731.65721549507,1949.534268233,2178.9240567606,2391.47711558936,2601.36342607386,2812.71113459466,3004.42734154703,3206.73002570818,3451.67923092858,3712.33813234069,4024.35569663549,4400.82518341212,4817.21184452758,5334.6466393818,5979.78171182527,6795.17401237991,7412.87436349204,8069.35463837756,8884.58803122605,9680.09769961662,10370.7265716791,11101.9389299934,11851.4042175796,12612.3516512418,13399.1373202744,14243.5326108491,15133.9956182327,15977.7638279876,16296.7788985682,17602.6960578913
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.725,44.051,44.783,45.972,47.592,49.549,51.696,53.847,55.843,57.603,59.085,60.303,61.344,62.281,63.134,63.915,64.631,65.278,65.857,66.377,66.844,67.26,67.627,67.949,68.231,68.473,68.673,68.831,68.954,69.054,69.145,69.242,69.355,69.496,69.67,69.885,70.14,70.428,70.737,71.063,71.397,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,76.912,77.097,..
Chile,CHL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,129450154199.989,139552951918.617,155136422193.395,165358025688.024,173675861751.799,189190840335.685,202061335410.687,216997182486.559,226069588670.12,225450991293.752,236659561222.491,244123886435.852,251942684159.439,263842555068.61,281452077797.839,297880564256.474,315902311065.355,332228872189.064,344818329172.422,340963131854.242,360915104444.854,383378088027.307,406976312902.023,420441157778.133,427978193970.559,437188038616.539,444852114339.543,450891850914.83,468882568679.532,472495494473.211,444248655131.958,496084586446.688
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9751.70539383466,10340.8903291281,11307.469398894,11857.9281686112,12259.7500972939,13155.73531157,13851.8030985775,14675.6290490169,15093.7090004871,14868.6902435606,15425.2484933853,15733.5733614099,16063.252361401,16646.5866259,17574.3097020612,18407.3315924514,19315.9176895613,20098.2959728719,20637.6027402276,20191.8403740148,21152.4951629307,22245.9871392571,23388.9607048925,23927.4333196578,24099.2702881884,24329.6442352491,24430.2463266411,24411.5447695103,25034.8877616618,24931.1218807485,23239.3700619175,25821.1138456941
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.219,57.616,58.031,58.467,58.927,59.415,59.931,60.474,61.044,61.637,62.254,62.895,63.555,64.231,64.917,65.609,66.307,67.005,67.698,68.378,69.033,69.655,70.239,70.782,71.282,71.737,72.148,72.524,72.872,73.198,73.509,73.808,74.1,74.386,74.671,74.957,75.244,75.53,75.813,76.092,76.366,76.634,76.894,77.146,77.391,77.63,77.865,78.099,78.33,78.558,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042,80.181,80.329,..
Germany,DEU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2915150994424.49,3064064530978.03,3122988837727.55,3092481926945.04,3166450756937.7,3215345395334.72,3241255384570.8,3299343893679.88,3365790462050.97,3429311717966.11,3529190523385.25,3588532749669.38,3581428393772.84,3556354215986.8,3598144512296.86,3624472393448.37,3762798276996.62,3874796279393.35,3911989640347.39,3689247352728.98,3843453557160.8,3994316515792.48,4011032634316.5,4028584564290.57,4117597889907.18,4179029631006.81,4272221986254.43,4386727409191.68,4434368344223.24,4481173467804.77,4276401015885.43,4400100295725.15
Germany,DEU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36699.4817033163,38294.1549425118,38734.9384083447,38105.2306021284,38881.5691219288,39366.0886366488,39568.6024740843,40218.8468799392,41022.6146311397,41769.8120329084,42928.1813366719,43576.6365260124,43417.3079988044,43089.4738197519,43605.2786723109,43949.2881791796,45678.0819192686,47100.6097046962,47643.2227372401,45044.4863870437,46999.2399709894,49757.9241566763,49872.4474888681,49954.173749339,50845.5269954271,51159.2974643888,51879.6725937905,53071.4555699913,53486.8405707004,53929.6392852715,51423.2350438638,52930.8088686815
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.3100243902439,69.508,69.6915365853659,69.8596097560976,70.0137073170732,70.1518292682927,70.2714146341463,70.374,70.4650975609756,70.5506829268293,70.6397804878049,70.7428780487805,70.867,71.0166829268293,71.1954146341463,71.4017317073171,71.6341463414634,71.8836829268293,72.1432926829268,72.4085365853659,72.6779024390244,72.9503902439024,73.227,73.5051951219512,73.7829268292683,74.0546341463415,74.3137317073171,74.5596829268293,74.7924878048781,75.0131463414634,75.227756097561,75.319512195122,75.819512195122,75.8707317073171,76.2707317073171,76.4219512195122,76.6731707317073,77.0731707317073,77.4756097560976,77.7268292682927,77.9268292682927,78.3292682926829,78.2292682926829,78.3804878048781,78.6804878048781,78.9317073170732,79.1317073170732,79.5341463414634,79.7365853658537,79.8365853658537,79.9878048780488,80.4365853658537,80.5390243902439,80.490243902439,81.090243902439,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,81.2926829268293,80.9414634146342,..
Mexico,MEX,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1254868455671.9,1307758084624.53,1354067137753.94,1380351691180.64,1448555981850.09,1357423981459.04,1449365819303.77,1548601755928.37,1628570391754.09,1673413960949.48,1756121671424.3,1749020088772.35,1748323200787.2,1773610644818.55,1843146660769.6,1885682929642.06,1970445846167.37,2015597543061.93,2038647605904.25,1930889909604.8,2029715136393.72,2104063762786.11,2180700554407.38,2210229245319.37,2273215767224.61,2348076207005.29,2409843112983.73,2460766209923.96,2514779898431.96,2510104751888.14,2305095510365.89,2415675362003.78
Mexico,MEX,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14949.0301460852,15293.1587095725,15550.5601249241,15575.1180606905,16067.1460497389,14808.8071185208,15559.9763718083,16368.0927691667,16954.3296103203,17165.8921814884,17756.5664680698,17438.2085202562,17193.5610804702,17205.9865610425,17635.2468516088,17788.5891204455,18319.4775627403,18462.840123233,18396.8109188439,17168.9773337976,17790.0119218899,18186.2245700593,18594.8944659843,18600.3711821448,18887.5674432127,19268.9143963283,19539.2612488443,19721.2609759241,19928.3961837399,19675.4406708213,17878.2772936361,18544.7120585215
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.077,57.668,58.193,58.656,59.069,59.447,59.807,60.165,60.536,60.932,61.362,61.829,62.327,62.845,63.378,63.922,64.467,65.009,65.54,66.055,66.553,67.031,67.493,67.942,68.38,68.809,69.232,69.649,70.062,70.469,70.866,71.248,71.61,71.953,72.279,72.598,72.925,73.268,73.625,73.988,74.34,74.658,74.922,75.118,75.243,75.3,75.296,75.255,75.194,75.128,75.065,75.011,74.966,74.93,74.908,74.904,74.917,74.947,74.992,75.054,75.131,..
